cf,pa,ef,cha,temporalidad,ace,sa,productores_atendidos
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Campache,Naranja,Tercer Trimestre,Control Químico (Aceite Parafínico),159.0,67.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Campache,Limón,Tercer Trimestre,Control Biológico (Chrysoperla externa),45.0,15.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Campache,Naranja,Tercer Trimestre,Control Biológico (Chrysoperla externa),15.0,9.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Chiapas,Naranja,Tercer Trimestre,Control Cultural,6.0,5.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Guerrero,Limón,Tercer Trimestre,Control Químico (Flupyradifurone),2213.0,294.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Guerrero,Naranja,Tercer Trimestre,Control Químico (Flupyradifurone),4.0,2.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Hidalgo,Naranja,Tercer Trimestre,Control Biológico (Chrysoperla externa),29.0,29.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Jalisco,Limón,Tercer Trimestre,Control Cultural,5.0,5.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Michoacán,Lima,Tercer Trimestre,Control Químico (Extracto de aceite de Neem ),23.0,3.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Michoacán,Limón,Tercer Trimestre,Control Químico (Extracto de aceite de Neem ),1858.0,158.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Michoacán,Naranja,Tercer Trimestre,Control Químico (Extracto de aceite de Neem ),119.0,6.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Limón,Tercer Trimestre,Control Químico (Aceite Mineral),507.0,277.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Limón,Tercer Trimestre,Control Químico (Sales Potásicas),511.0,286.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Mandarina,Tercer Trimestre,Control Químico (Aceite Mineral),5.0,1.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Naranja,Tercer Trimestre,Control Químico (Aceite Mineral),147.0,50.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Naranja,Tercer Trimestre,Control Químico (Sales Potásicas),150.0,52.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Limón,Tercer Trimestre,Control Biológico (Isaria javanica),245.0,137.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Morelos,Naranja,Tercer Trimestre,Control Biológico (Isaria javanica),79.0,27.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nayarit,Limón,Tercer Trimestre,Control Cultural,4.0,3.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Oaxaca,Limón,Tercer Trimestre,Control Químico (Aceite Mineral),1436.0,476.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Oaxaca,Naranja,Tercer Trimestre,Control Químico (Aceite Mineral),271.0,51.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Oaxaca,Naranja,Tercer Trimestre,Control Cultural,14.0,8.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Puebla,Naranja,Tercer Trimestre,Control Cultural,6.0,6.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Puebla,Limón,Tercer Trimestre,Control Biológico (Chrysoperla externa),4.0,1.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Puebla,Naranja,Tercer Trimestre,Control Biológico (Chrysoperla externa),15.0,9.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Quintana Roo,Lima,Tercer Trimestre,Control Químico (Aceite Mineral),1.0,1.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Quintana Roo,Limón,Tercer Trimestre,Control Químico (Aceite Mineral),1530.0,310.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Quintana Roo,Mandarina,Tercer Trimestre,Control Químico (Aceite Mineral),16.0,12.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Quintana Roo,Mandarina,Tercer Trimestre,Control Químico (Aceite Mineral),68.0,35.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Quintana Roo,Limón,Tercer Trimestre,Control Biológico (Chrysoperla externa),168.0,28.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Quintana Roo,Mandarina,Tercer Trimestre,Control Biológico (Chrysoperla externa),2.0,2.0
Plagas de los Cítricos,Pulgón café de los cítricos (Aphis citricidus),Quintana Roo,Naranja,Tercer Trimestre,Control Biológico (Chrysoperla externa),10.0,5.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),San Luis Potosí,Naranja,Tercer Trimestre,Control Cultural,18.0,13.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Sinaloa,Naranja,Tercer Trimestre,Control Cultural,5.0,5.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Limón,Tercer Trimestre,Control Químico (Abamectina),66.0,5.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Limón,Tercer Trimestre,Control Químico (Imidacloprid + Betacyflutrin),66.0,1.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Limón,Tercer Trimestre,Control Químico (Ajo+Neem),22.0,1.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Mnadarina,Tercer Trimestre,Control Químico (Abamectina),70.0,3.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Naranja,Tercer Trimestre,Control Químico (Jabón Agrícola),3007.0,38.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Naranja,Tercer Trimestre,Control Químico (Abamectina),306.0,6.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Sonora,Naranja,Tercer Trimestre,Control Químico (Imidacloprid),1963.0,62.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Tabasco,Limón,Tercer Trimestre,Control Químico (Aceite Mineral),9882.0,935.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Tabasco,Naranja,Tercer Trimestre,Control Químico (Aceite Mineral),118.0,25.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Tabasco,Naranja,Tercer Trimestre,Control Cultural,1.0,1.0
Plagas de los Cítricos,Mosca prieta de los citricos (Aleurocanthus woglumi),Tabasco,Limón,Tercer Trimestre,Control Biológico (Amitus hespiridum),23.0,11.0
Plagas de los Cítricos,Mosca prieta de los citricos (Aleurocanthus woglumi),Tabasco,Mnadarina,Tercer Trimestre,Control Biológico (Amitus hespiridum),1.0,1.0
Plagas de los Cítricos,Mosca prieta de los citricos (Aleurocanthus woglumi),Tabasco,Naranja,Tercer Trimestre,Control Biológico (Amitus hespiridum),9.0,10.0
Plagas de los Cítricos,Mosca prieta de los citricos (Aleurocanthus woglumi),Tabasco,Limón,Tercer Trimestre,Control Biológico (Encarsia sp.),31.0,21.0
Plagas de los Cítricos,Mosca prieta de los citricos (Aleurocanthus woglumi),Tabasco,Naranja,Tercer Trimestre,Control Biológico (Encarsia sp.),10.0,3.0
Plagas de los Cítricos,Mosca prieta de los citricos (Aleurocanthus woglumi),Tamaulipas,Naranja,Tercer Trimestre,Control Biológico (Chrysoperla externa),231.0,80.0
Plagas de los Cítricos,Mosca prieta de los citricos (Aleurocanthus woglumi),Tamaulipas,Toronja,Tercer Trimestre,Control Biológico (Chrysoperla externa),5.0,1.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Veracruz,Limón,Tercer Trimestre,Control Químico (Azadiractina),5.0,1.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Veracruz,Mandarina,Tercer Trimestre,Control Químico (Azadiractina),205.0,37.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Veracruz,Naranja,Tercer Trimestre,Control Químico (Azadiractina),1577.0,191.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Veracruz,Naranja,Tercer Trimestre,Control Químico (Burkholderia sp.),87.0,27.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Veracruz,Toronja,Tercer Trimestre,Control Químico (Azadiractina),41.0,3.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Veracruz,Mandarina,Tercer Trimestre,Control Biológico (Isaria javanica),23.0,12.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Veracruz,Naranja,Tercer Trimestre,Control Biológico (Isaria javanica),325.0,67.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Veracruz,Naranja,Tercer Trimestre,Control Cultural,35.0,33.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Yucatán,Limón,Tercer Trimestre,Control Químico (Aceite Mineral),1726.0,101.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Yucatán,Naranja,Tercer Trimestre,Control Químico (Aceite Mineral),795.0,93.0
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Yucatán,Naranja,Tercer Trimestre,Control Químico (Aceite Mineral),369.0,57.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Yucatán,Naranja,Tercer Trimestre,Control Cultural,9.0,2.0
Plagas de los Cítricos,Leprosis de los cítricos (Citrus leprosis virus),Yucatán,Naranja,Tercer Trimestre,Control Biológico (Chrysoperla externa),14.0,1.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Aguascalientes,Maíz,Tercer Trimestre,Control Biológico,300.0,60.0
Manejo Fitosanitario del Maíz,"Chapulín (Brachystola sp., Sphenarium sp., Melanoplus sp.)",Aguascalientes,Maíz,Tercer Trimestre,Control Químico,20.0,8.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Baja California,Maíz,Tercer Trimestre,Control Biológico,300.0,18.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Campeche,Maíz,Tercer Trimestre,Control Biológico,645.0,178.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Campeche,Maíz,Tercer Trimestre,Control Químico,310.0,79.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Chiapas,Maíz,Tercer Trimestre,Control Biológico,1180.5,483.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Chiapas,Maíz,Tercer Trimestre,Control Etológico,375.5,110.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Mancha de asfalto (Phyllachora maydis),Chiapas,Maíz,Tercer Trimestre,Control Químico,1759.0,643.0
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda) y Gusano elotero (Helicoverpa zea),Chihuahua,Maíz,Tercer Trimestre,Control Biológico,598.0,53.0
